Team_Original,Team_Matched,Confederation,Stadium,City,Capacity,Country,Lat,Long,League
AC Milan,AC Milan,UEFA,Stadio San Siro,Milan,81277,Italy,45.4781236,9.12396199999999,Serie A
ACF Fiorentina,Fiorentina,UEFA,Stadio Artemio Franchi,Florence,47300,Italy,43.7808349,11.2825717,Serie A
ADO Den Haag,ADO Den Haag,UEFA,Kyocera Stadion,Hague,15000,Netherlands,52.0627691,4.3828743,Eredivisie
AFC Bournemouth,AFC Bournemouth,UEFA,Vitality Stadium,Bournemouth,11360,England,50.7352305999999,-1.8382791,Championship
Ajax Amsterdam,Ajax,UEFA,Johan Cruijff Arena,Amsterdam,55134,Netherlands,52.3143713,4.9419641,Eredivisie
Akhmat Grozny,Akhmat,UEFA,Achmat Arena,Grozny,30597,Russia,43.3231304,45.7439841,Premier Liga
Alaves,Alaves,UEFA,Estadio Mendizorrotza,Vitoria-Gasteiz,19840,Spain,42.837,-2.6995,Primera Division
Angers SCO,Angers,UEFA,Stade Raymond Kopa,Angers,18752,France,47.4604,-0.5308,Ligue 1
Arminia Bielefeld,Arminia Bielefeld,UEFA,Bielefelder Alm,Bielefeld,28008,Germany,52.0314415,8.5161568,1 Bundesliga
Arsenal FC,Arsenal,UEFA,Emirates Stadium,London,59867,England,51.5548885,-0.108438,Premier League
Arsenal Tula,FK Arsenal,UEFA,Arsenal Stadion,Tula,20048,Russia,54.1746181,37.6026231,Premier Liga
AS Monaco,Monaco,UEFA,Stade Louis II,Monaco,18523,France,43.7276123,7.4157088,Ligue 1
AS Roma,Roma,UEFA,Stadio Olimpico,Rome,70634,Italy,41.9340769999999,12.454725,Serie A
AS Saint-Etienne,Saint-Etienne,UEFA,Stade Geoffroy-Guichard,Saint-Etienne,41965,France,45.4608,4.3902,Ligue 1
Aston Villa,Aston Villa,UEFA,Villa Park,Birmingham,42682,England,52.5091117,-1.8847828,Premier League
Atalanta BC,Atalanta Bergamasca,UEFA,Gewiss Stadium,Bergamo,24726,Italy,45.7092003,9.68084539999999,Serie A
Athletic Bilbao,Athletic,UEFA,San Mames Barria,Bilbao,53289,Spain,43.2641706,-2.9493416,Primera Division
Atletico Madrid,Atletico Madrid,UEFA,Estadio Wanda Metropolitano,Madrid,68456,Spain,40.4362,-3.6017,Primera Division
AZ Alkmaar,AZ,UEFA,AFAS Stadion,Alkmaar,17250,Netherlands,52.612973,4.7418547,Eredivisie
Barnsley FC,Barnsley FC,UEFA,Oakwell Stadium,Barnsley,23009,England,53.5522646999999,-1.467674,Championship
Bayer 04 Leverkusen,Bayer,UEFA,BayArena,Leverkusen,30210,Germany,51.0382091,7.0022566,1 Bundesliga
Bayern Munich,Bayern,UEFA,Allianz Arena,Munich,75024,Germany,48.218764,11.6247555,1 Bundesliga
Belenenses SAD,Belenenses,UEFA,Estadio  do Restelo,Lisbon,19980,Portugal,38.7027339,-9.2079944,Liga Nos
Benevento Calcio,Benevento,UEFA,Stadio Ciro Vigorito,Benevento,25000,Italy,41.1166,14.7811,Serie A
Birmingham City,Birmingham City,UEFA,St. Andrew's Stadium,Birmingham,30009,England,52.4757188,-1.8681831,Championship
Blackburn Rovers,Blackburn Rovers,UEFA,Ewood Park,Blackburn,31154,England,53.7286169,-2.4891799,Championship
Boavista FC,Boavista,UEFA,Estadio do Bessa XXI,Porto,28263,Portugal,41.1624783,-8.643119,Liga Nos
Bologna FC 1909,Bologna FC,UEFA,Stadio Renato Dall'Ara,Bologna,39300,Italy,44.4921623,11.3099448,Serie A
Bordeaux FC,Bordeaux,UEFA,Nouveau Stade de Bordeaux,Bordeaux,42115,France,44.8974,-0.5616,Ligue 1
Borussia Dortmund,Borussia,UEFA,Signal Iduna Park,Dortmund,81359,Germany,51.4925888,7.4518574,1 Bundesliga
Brentford FC,Brentford FC,UEFA,Griffin Park,London,12300,England,51.4881337,-0.3026139,Championship
Brighton & Hove Albion,Albion,UEFA,Amex Stadium,Brighton & Hove,30666,England,50.8615651,-0.0837163,Premier League
Bristol City,Bristol City,UEFA,Ashton Gate,Bristol,27699,England,51.4401174,-2.620302,Championship
Burnley FC,Burnley,UEFA,Turf Moor,Burnley,21944,England,53.7886839,-2.2303478,Premier League
CA Osasuna,Osasuna,UEFA,Estadio El Sadar,Pamplona,18375,Spain,42.7966618,-1.6371227,Primera Division
Cadiz,Cadiz,UEFA,Estadio Ramon de Carranza,Cadiz,20724,Spain,36.5026,-6.2751,Primera Division
Cagliari Calcio,Cagliari Calcio,UEFA,Sardegna Arena,Cagliari,16416,Italy,39.1994218,9.13509659999999,Serie A
Cardiff City,Cardiff City,UEFA,Cardiff City Stadium,Cardiff,32898,Wales,51.4728372,-3.2030343,Championship
CD Nacional,Nacional Madeira,UEFA,Estadio da Madeira,Funchal,5132,Portugal,32.670846,-16.883584,Liga Nos
